faiss_id,passage_id
0,bb_1220::row341::t0
1,bb_1220::row341::t1024
2,bb_1220::row341::t10240
3,bb_1220::row341::t10752
4,bb_1220::row341::t11264
5,bb_1220::row341::t11776
6,bb_1220::row341::t12288
7,bb_1220::row341::t12800
8,bb_1220::row341::t13312
9,bb_1220::row341::t13824
10,bb_1220::row341::t14336
11,bb_1220::row341::t14848
12,bb_1220::row341::t1536
13,bb_1220::row341::t15360
14,bb_1220::row341::t15872
15,bb_1220::row341::t16384
16,bb_1220::row341::t16896
17,bb_1220::row341::t17408
18,bb_1220::row341::t17920
19,bb_1220::row341::t18432
20,bb_1220::row341::t18944
21,bb_1220::row341::t19456
22,bb_1220::row341::t19968
23,bb_1220::row341::t2048
24,bb_1220::row341::t20480
25,bb_1220::row341::t20992
26,bb_1220::row341::t21504
27,bb_1220::row341::t22016
28,bb_1220::row341::t22528
29,bb_1220::row341::t23040
30,bb_1220::row341::t23552
31,bb_1220::row341::t24064
32,bb_1220::row341::t24576
33,bb_1220::row341::t25088
34,bb_1220::row341::t2560
35,bb_1220::row341::t25600
36,bb_1220::row341::t26112
37,bb_1220::row341::t26624
38,bb_1220::row341::t27136
39,bb_1220::row341::t27648
40,bb_1220::row341::t3072
41,bb_1220::row341::t3584
42,bb_1220::row341::t4096
43,bb_1220::row341::t4608
44,bb_1220::row341::t512
45,bb_1220::row341::t5120
46,bb_1220::row341::t5632
47,bb_1220::row341::t6144
48,bb_1220::row341::t6656
49,bb_1220::row341::t7168
50,bb_1220::row341::t7680
51,bb_1220::row341::t8192
52,bb_1220::row341::t8704
53,bb_1220::row341::t9216
54,bb_1220::row341::t9728
55,bb_1323::row79::t0
56,bb_1323::row79::t1024
57,bb_1323::row79::t1536
58,bb_1323::row79::t2048
59,bb_1323::row79::t2560
60,bb_1323::row79::t3072
61,bb_1323::row79::t3584
62,bb_1323::row79::t4096
63,bb_1323::row79::t4608
64,bb_1323::row79::t512
65,bb_1412::row120::t0
66,bb_1412::row120::t1024
67,bb_1412::row120::t10240
68,bb_1412::row120::t10752
69,bb_1412::row120::t11264
70,bb_1412::row120::t11776
71,bb_1412::row120::t12288
72,bb_1412::row120::t12800
73,bb_1412::row120::t13312
74,bb_1412::row120::t13824
75,bb_1412::row120::t14336
76,bb_1412::row120::t14848
77,bb_1412::row120::t1536
78,bb_1412::row120::t15360
79,bb_1412::row120::t15872
80,bb_1412::row120::t16384
81,bb_1412::row120::t2048
82,bb_1412::row120::t2560
83,bb_1412::row120::t3072
84,bb_1412::row120::t3584
85,bb_1412::row120::t4096
