faiss_id,passage_id
0,bb_1220::r341::c0
1,bb_1220::r341::c1
2,bb_1220::r341::c10
3,bb_1220::r341::c11
4,bb_1220::r341::c12
5,bb_1220::r341::c13
6,bb_1220::r341::c14
7,bb_1220::r341::c15
8,bb_1220::r341::c16
9,bb_1220::r341::c17
10,bb_1220::r341::c18
11,bb_1220::r341::c19
12,bb_1220::r341::c2
13,bb_1220::r341::c20
14,bb_1220::r341::c21
15,bb_1220::r341::c22
16,bb_1220::r341::c23
17,bb_1220::r341::c24
18,bb_1220::r341::c25
19,bb_1220::r341::c26
20,bb_1220::r341::c27
21,bb_1220::r341::c28
22,bb_1220::r341::c29
23,bb_1220::r341::c3
24,bb_1220::r341::c30
25,bb_1220::r341::c31
26,bb_1220::r341::c32
27,bb_1220::r341::c33
28,bb_1220::r341::c34
29,bb_1220::r341::c35
30,bb_1220::r341::c36
31,bb_1220::r341::c37
32,bb_1220::r341::c38
33,bb_1220::r341::c39
34,bb_1220::r341::c4
35,bb_1220::r341::c40
36,bb_1220::r341::c41
37,bb_1220::r341::c42
38,bb_1220::r341::c43
39,bb_1220::r341::c44
40,bb_1220::r341::c45
41,bb_1220::r341::c46
42,bb_1220::r341::c47
43,bb_1220::r341::c48
44,bb_1220::r341::c49
45,bb_1220::r341::c5
46,bb_1220::r341::c50
47,bb_1220::r341::c51
48,bb_1220::r341::c52
49,bb_1220::r341::c53
50,bb_1220::r341::c54
51,bb_1220::r341::c6
52,bb_1220::r341::c7
53,bb_1220::r341::c8
54,bb_1220::r341::c9
55,bb_1323::r79::c0
56,bb_1323::r79::c1
57,bb_1323::r79::c2
58,bb_1323::r79::c3
59,bb_1323::r79::c4
60,bb_1323::r79::c5
61,bb_1323::r79::c6
62,bb_1323::r79::c7
63,bb_1323::r79::c8
64,bb_1323::r79::c9
65,bb_1412::r120::c0
66,bb_1412::r120::c1
67,bb_1412::r120::c10
68,bb_1412::r120::c11
69,bb_1412::r120::c12
70,bb_1412::r120::c13
71,bb_1412::r120::c14
72,bb_1412::r120::c15
73,bb_1412::r120::c16
74,bb_1412::r120::c17
75,bb_1412::r120::c18
76,bb_1412::r120::c19
77,bb_1412::r120::c2
78,bb_1412::r120::c20
79,bb_1412::r120::c21
80,bb_1412::r120::c22
81,bb_1412::r120::c23
82,bb_1412::r120::c24
83,bb_1412::r120::c25
84,bb_1412::r120::c26
85,bb_1412::r120::c27
86,bb_1412::r120::c28
87,bb_1412::r120::c29
88,bb_1412::r120::c3
89,bb_1412::r120::c30
90,bb_1412::r120::c31
91,bb_1412::r120::c32
92,bb_1412::r120::c4
93,bb_1412::r120::c5
94,bb_1412::r120::c6
95,bb_1412::r120::c7
96,bb_1412::r120::c8
97,bb_1412::r120::c9
98,bb_1567::r16::c0
99,bb_1567::r16::c1
100,bb_1567::r16::c10
101,bb_1567::r16::c11
102,bb_1567::r16::c12
103,bb_1567::r16::c13
104,bb_1567::r16::c14
105,bb_1567::r16::c15
106,bb_1567::r16::c16
107,bb_1567::r16::c17
108,bb_1567::r16::c18
109,bb_1567::r16::c19
110,bb_1567::r16::c2
111,bb_1567::r16::c20
112,bb_1567::r16::c3
113,bb_1567::r16::c4
114,bb_1567::r16::c5
115,bb_1567::r16::c6
116,bb_1567::r16::c7
117,bb_1567::r16::c8
