run_id,q_idx,k,t_embed_q_ms,t_search_ms,t_total_ms,retrieved_ids,recall_at_k
2025-11-05_12-53-10,0,1,77.01,0.0,77.01,[0],
2025-11-05_12-53-10,0,3,77.01,0.0,77.01,"[0, 474, 576]",
2025-11-05_12-53-10,0,5,77.01,0.0,77.01,"[0, 474, 576, 616, 166]",
2025-11-05_12-53-10,0,10,77.01,0.0,77.01,"[0, 474, 576, 616, 166, 329, 417, 693, 623, 322]",
2025-11-05_12-53-10,1,1,54.4,0.0,54.4,[1],
2025-11-05_12-53-10,1,3,54.4,0.0,54.4,"[1, 335, 593]",
2025-11-05_12-53-10,1,5,54.4,0.0,54.4,"[1, 335, 593, 445, 546]",
2025-11-05_12-53-10,1,10,54.4,0.0,54.4,"[1, 335, 593, 445, 546, 938, 280, 553, 157, 732]",
2025-11-05_12-53-10,2,1,35.91,0.0,35.91,[2],
2025-11-05_12-53-10,2,3,35.91,0.0,35.91,"[2, 470, 711]",
2025-11-05_12-53-10,2,5,35.91,0.0,35.91,"[2, 470, 711, 792, 500]",
2025-11-05_12-53-10,2,10,35.91,0.0,35.91,"[2, 470, 711, 792, 500, 424, 862, 745, 93, 397]",
2025-11-05_12-53-10,3,1,34.88,0.0,34.88,[3],
2025-11-05_12-53-10,3,3,34.88,0.0,34.88,"[3, 671, 347]",
2025-11-05_12-53-10,3,5,34.88,0.0,34.88,"[3, 671, 347, 564, 547]",
2025-11-05_12-53-10,3,10,34.88,0.0,34.88,"[3, 671, 347, 564, 547, 877, 119, 516, 462, 753]",
2025-11-05_12-53-10,4,1,39.95,1.01,40.95,[4],
2025-11-05_12-53-10,4,3,39.95,0.0,39.95,"[4, 290, 540]",
2025-11-05_12-53-10,4,5,39.95,0.0,39.95,"[4, 290, 540, 138, 522]",
2025-11-05_12-53-10,4,10,39.95,0.0,39.95,"[4, 290, 540, 138, 522, 553, 681, 653, 542, 580]",
2025-11-05_12-53-10,5,1,30.88,0.0,30.88,[5],
2025-11-05_12-53-10,5,3,30.88,0.0,30.88,"[5, 697, 716]",
2025-11-05_12-53-10,5,5,30.88,0.0,30.88,"[5, 697, 716, 259, 305]",
2025-11-05_12-53-10,5,10,30.88,0.0,30.88,"[5, 697, 716, 259, 305, 307, 51, 359, 166, 813]",
2025-11-05_12-53-10,6,1,34.07,0.0,34.07,[6],
2025-11-05_12-53-10,6,3,34.07,0.0,34.07,"[6, 600, 739]",
2025-11-05_12-53-10,6,5,34.07,0.0,34.07,"[6, 600, 739, 234, 850]",
2025-11-05_12-53-10,6,10,34.07,0.0,34.07,"[6, 600, 739, 234, 850, 190, 464, 807, 420, 453]",
2025-11-05_12-53-10,7,1,43.98,0.0,43.98,[7],
2025-11-05_12-53-10,7,3,43.98,0.0,43.98,"[7, 38, 608]",
2025-11-05_12-53-10,7,5,43.98,1.55,45.54,"[7, 38, 608, 499, 940]",
2025-11-05_12-53-10,7,10,43.98,0.0,43.98,"[7, 38, 608, 499, 940, 583, 172, 764, 881, 63]",
2025-11-05_12-53-10,8,1,35.04,0.0,35.04,[8],
2025-11-05_12-53-10,8,3,35.04,0.0,35.04,"[8, 93, 424]",
2025-11-05_12-53-10,8,5,35.04,0.0,35.04,"[8, 93, 424, 377, 880]",
2025-11-05_12-53-10,8,10,35.04,0.0,35.04,"[8, 93, 424, 377, 880, 504, 24, 2, 593, 500]",
2025-11-05_12-53-10,9,1,38.69,0.0,38.69,[9],
2025-11-05_12-53-10,9,3,38.69,0.0,38.69,"[9, 365, 941]",
2025-11-05_12-53-10,9,5,38.69,0.0,38.69,"[9, 365, 941, 313, 718]",
2025-11-05_12-53-10,9,10,38.69,0.0,38.69,"[9, 365, 941, 313, 718, 912, 256, 329, 820, 228]",
2025-11-05_12-53-10,10,1,40.43,0.0,40.43,[10],
2025-11-05_12-53-10,10,3,40.43,0.0,40.43,"[10, 508, 672]",
2025-11-05_12-53-10,10,5,40.43,0.0,40.43,"[10, 508, 672, 114, 283]",
2025-11-05_12-53-10,10,10,40.43,0.0,40.43,"[10, 508, 672, 114, 283, 82, 289, 75, 81, 748]",
2025-11-05_12-53-10,11,1,47.02,0.0,47.02,[11],
2025-11-05_12-53-10,11,3,47.02,0.0,47.02,"[11, 89, 860]",
2025-11-05_12-53-10,11,5,47.02,0.0,47.02,"[11, 89, 860, 830, 625]",
2025-11-05_12-53-10,11,10,47.02,0.0,47.02,"[11, 89, 860, 830, 625, 525, 450, 467, 543, 286]",
2025-11-05_12-53-10,12,1,38.94,0.0,38.94,[12],
2025-11-05_12-53-10,12,3,38.94,0.0,38.94,"[12, 123, 369]",
2025-11-05_12-53-10,12,5,38.94,0.0,38.94,"[12, 123, 369, 401, 944]",
2025-11-05_12-53-10,12,10,38.94,0.0,38.94,"[12, 123, 369, 401, 944, 829, 65, 210, 68, 298]",
2025-11-05_12-53-10,13,1,39.75,0.0,39.75,[13],
2025-11-05_12-53-10,13,3,39.75,0.0,39.75,"[13, 630, 792]",
2025-11-05_12-53-10,13,5,39.75,0.0,39.75,"[13, 630, 792, 87, 192]",
2025-11-05_12-53-10,13,10,39.75,0.0,39.75,"[13, 630, 792, 87, 192, 129, 711, 600, 715, 767]",
2025-11-05_12-53-10,14,1,49.91,0.0,49.91,[14],
2025-11-05_12-53-10,14,3,49.91,0.0,49.91,"[14, 472, 788]",
2025-11-05_12-53-10,14,5,49.91,0.0,49.91,"[14, 472, 788, 169, 385]",
2025-11-05_12-53-10,14,10,49.91,0.0,49.91,"[14, 472, 788, 169, 385, 769, 866, 459, 277, 724]",
2025-11-05_12-53-10,15,1,41.45,0.0,41.45,[15],
2025-11-05_12-53-10,15,3,41.45,0.0,41.45,"[15, 706, 262]",
2025-11-05_12-53-10,15,5,41.45,0.0,41.45,"[15, 706, 262, 352, 518]",
2025-11-05_12-53-10,15,10,41.45,0.0,41.45,"[15, 706, 262, 352, 518, 134, 183, 628, 662, 312]",
2025-11-05_12-53-10,16,1,37.66,0.0,37.66,[16],
2025-11-05_12-53-10,16,3,37.66,0.0,37.66,"[16, 265, 491]",
2025-11-05_12-53-10,16,5,37.66,0.0,37.66,"[16, 265, 491, 146, 909]",
2025-11-05_12-53-10,16,10,37.66,0.0,37.66,"[16, 265, 491, 146, 909, 14, 788, 949, 464, 472]",
2025-11-05_12-53-10,17,1,42.87,0.0,42.87,[17],
2025-11-05_12-53-10,17,3,42.87,0.0,42.87,"[17, 131, 883]",
2025-11-05_12-53-10,17,5,42.87,0.0,42.87,"[17, 131, 883, 684, 498]",
2025-11-05_12-53-10,17,10,42.87,0.0,42.87,"[17, 131, 883, 684, 498, 220, 753, 311, 665, 92]",
2025-11-05_12-53-10,18,1,43.71,2.61,46.33,[18],
2025-11-05_12-53-10,18,3,43.71,0.0,43.71,"[18, 730, 594]",
2025-11-05_12-53-10,18,5,43.71,0.0,43.71,"[18, 730, 594, 420, 51]",
2025-11-05_12-53-10,18,10,43.71,0.0,43.71,"[18, 730, 594, 420, 51, 934, 591, 845, 881, 114]",
2025-11-05_12-53-10,19,1,44.5,0.0,44.5,[19],
